Nombre,Precio
Portátil ThinkPad E16 G2 AMD Ryzen 5 16GB 512GB - Negro,3849900.0
"PORTATIL 15 AMD RYZEN 7 5700U - 24GB DDR4 - 1TB SSD - 15,6"" FHD - WINDOWS 11.",2639900.0
Portátil Intel Core I5 - 1235U / 8G Ram / 512G ssd / Iris X / 14 FHD,1599900.0
"Portátil Vivobook OLED 15.6"" M1503QA AMD Ryzen 5 RAM 16GB RAM SSD 512 GB Plateado",3999000.0
Portátil Vivobook 16? Intel Core i5-1135G7 RAM 16GB 512GB SSD Negro,2203900.0
PORTATIL ASPIRE INTEL CORE I7-1255U SSD 512GB RAM 24GB LED 16 FULL HD,2449900.0
Portátil IdeaPad Slim 5 Intel Core i7 16GB 1TB 16” - Azul,3549900.0
"PORTATIL INTEL CORE I5-12450H SSD 1TB RAM 40GB LED 15,6 FULL HD",2599900.0
Portátil Zenbook 14X 2.8K Oled Intel i7 13700H 16GB RAM 512 SSD,9999000.0
Portatil Intel i5-1235U Ram 16GB 512GB SSD Black,1919900.0
Portatil Vostro 3400 Intel I5 1135g 16gb 1tb SSD 256 14 WINDOWS,2200000.0
Portátil 156? AMD R7-5700U RAM 8GB 512GB SSD BLUE.,2399899.0
"Portátil Inspiron 3520 Intel Core I7 1255U Ram 8Gb SSD 512GB 15,6"" 120Mhz",2089900.0
Portátil | AMD Ryzen¿ 5 | 16GB RAM | 512GB SSD Almacenamiento | Windows 11 | 14 pulgadas | 14-em0021la | Computador portátil,1799000.0
Portátil LENOVO FHD 156 Intel N4020 RAM16GB 256GB SSD Silver,1168999.0
Portátil Yoga 7 2 en 1 Intel Core Ultra 7 16GB 1TB 14”,4849900.0
"Portátil Aspire 5 14"" Intel Ci5 1235u RAM 8GB Disco SSD 512 GB Rojo",3999000.0
"OMEN INTEL CORE I9-13900HX RTX 4060 8GB SSD 1TB RAM 16GB LED 16"" FHD 165Hz",6609900.0
Portátil Legion 5 Intel Core i9 16GB 1TB Nvidia GF RTX 4060,8349900.0
Computador Portatil Amd Ryzen 9 6900h Mem 24gb Ssd 512gb Rx 6700s,8059952.0
Portatil + Morral + Mouse Vivobook Go 15 Intel Core i3 RAM 8GB SSD 512GB Windows 11,1977900.0
"Portátil 15-EF2523LA Ryzen 5 5500U 8GB DDR4 SSD 256GB 15.6""HD GRIS",1429000.0
Portatil Vostro 3400 Intel I5 1135g 16gb 1tb SSD 256 14 WINDOWS,2200000.0
Portátil Intel Core I5 - 1235U / 8G Ram / 512G ssd / Iris X / 14 FHD,1599900.0
"Poratatil 15,6' AMD R5-7520U Ram 16GB 512GB SSD Silver",2113900.0
